rating,date,review
5.0,"May 9, 2025","Loved that movie, I hadn't seen the trailer before and it was a complete surprise! Climax, direction, writing, everything is incredible!"
0.5,"May 6, 2025","Could have been enjoyable, if it wasn't so tragic"
5.0,"May 3, 2025","I watched this movie a few times now and keep on being amazed by the story line, production and the downfall of being greedy"
5.0,"May 2, 2025",A beautiful film that brings you on a fun journey then leaves you stunned and introspective. My #1
5.0,"Apr 30, 2025",Vaya obra maestra
4.5,"Apr 18, 2025","It's a bit overrated but 200K people seem to think this movie was the best movie of the 21st century. I've watched a lot of Korean revenge movies and this was probably not at the top. However for awards purposes I can see why it is ranked so high, Korean movies/shows were never really publicized until recently. Look at Squid Game, the reason it got global publicity was because of Netflix. Without Netflix it never would have gotten so much fame."
5.0,"Apr 18, 2025","All Time Classic. The editing and pacing are masterful. It reminds me of something that Hitchcock or even the Coen Brothers would make. It's extremely witty, has really good dark humor, and has tons of underlying commentary about poverty and a two class society and the different human expierence by each and how those worlds collide. It's an extremely intelligent thiller. The cinematography is first rate as well. The shots inside the house, deep focus, lighting, and direction are all just masterful. Everything else is really good. Never really seen something like this. Everyone should should give this a try once."
5.0,"Apr 15, 2025",Just an incredible movie which shows the different lives between different households. 1 poor and 1 rich. And Bong Joon Ho's directing is just incredible. Deserved every Oscar it won.
5.0,"Apr 8, 2025","a great movie in every way, an even better plane movie. But don't get scared away by it being in a different language it still is a perfect movie."
5.0,"Mar 26, 2025","Totally deserves the 4 Oscar awards it has won. Took me a while before I finally saw it, masterpiece! Watch it without reading any more info about it. Dont watch the trailer. I didnt and it was full of surprises for me."
5.0,"Mar 24, 2025","Downloaded this on the plane, thought it would suck... Might be one of the best movies I've watched."
4.0,"Mar 24, 2025","Hey, I just wanted to give you a heads-up that this review might contain some spoilers for the movie ""Parasite."" The movie starts with the story of the main character's family. They live in a small basement room and aren't very healthy. They make a living by folding pizza boxes, which isn't a very well-paying job. Their financial struggles are so big that they turn to public insecticides, administered via wifi, and have to use them inshared spaces.Money problems also mean that they can't go to college.But then, the protagonist meets someone who helps him and his family move in with a rich person. His initial job as an English tutor, where he gained his teaching credentials, was followed by his rise to a professional position as an art instructor, a role that also required him to get his teaching credentials, since his sister, who was also his art instructor, didn't have much money.Despite the lack of financial resources, the hero's creativity and methods won over the mother and child.It's heartwarming to see how he found his way to become a loving art instructor. Then, the father allowed him to become a driver, which he did with a clever plan. The film is full of moments that shed light on classism, like when the rich mother hits the car seat with her foot or when the rich father pretends to smell the hero's father.There's also a conversation between the rich husband and wife about the driver's body odor, drug trafficking, and underwear in the car that looks insulted. It all builds up to a point where the hero's father feels so insulted that he has to stab the rich father to death. Thoughts from this movie In our world, people who don't have a lot of money often have to work really hard to take care of themselves. It's more important for them to think about themselves than to think about other people. Even when we plan everything life doesn't always go as we'd hoped, as the hero's father learned the hard way. It's important to see challenges as chances to grow, like when the hero decided to become a tutor in a rich family to boost his family's finances and used his cooking skills to help out. But, as we all know, being greedy can sometimes bring about our own downfall. And that's exactly what happened to the hero's family. Their greed and the actions that followed led to a heartbreaking outcome. Overall of this movie This movie is a really great example of how different people's lives can be. It shows how the lower class and the upper class live, and how they feel about each other. It's a really interesting story that keeps you hooked for almost two hours. It's not a story with a lot of characters, but each character has their own interesting story and history. There are also clues throughout the movie that you have to look out for."
5.0,"Mar 22, 2025",Perfect from start to finish! It’s been my favorite for years.
3.5,"Mar 22, 2025","Good movies, but NOT Best Picture great. The social commentaries are spot on, pacing is good, ending is phenomenal, however still lacks that quality of memorable from a great movie like dialogue, memorable characters and overall feeling left once seen."
4.0,"Mar 22, 2025","Very good film. It describes the different life style of the 2 families ver well. My only negatives are there are a couple of scenes which weren’t needed as much, but overall, very good."
5.0,"Mar 21, 2025",Parasite review I love this movie it’s so funny and so messed up but kelp me entertained 5 star 10 out 10 star 100 out 100 star
5.0,"Mar 19, 2025","Engaging and conniving. The movie shoes that you need need explosions and CGI to tell a story that keeps you hooked. There's enough truth and caricaturizing in each character, so that everyone is important to the story. Don't spoil your first view by reading the plot or watching trailers. Just watch it and you'll be satisfied through and through."
5.0,"Mar 17, 2025","I thought this movie was brilliant. I'm not usually one for closed captions, but this one is well worth it!"
5.0,"Mar 11, 2025","There is one word and one word only that describes this film and its essence, and that word? ""Perfection"" is that word. I genuinely couldn't find ONE flaw in the film, from cinematography, to wide shots, acting, looks, side characters, this are very few movies that I can 100% say, is AMAZING and PERFECT, and this is one, you've done yourself a distaste by not watching this film"
0.5,"Mar 9, 2025",Didn't make it 30 minutes they first 29 were so painfull. This might be the worst movie ever made. Completely unwatchable.
5.0,"Mar 8, 2025",Incredible!! Defiantly recommend!!
4.5,"Mar 6, 2025",Classic modern day cinematic roller-coaster. What a joy to ride.
5.0,"Mar 6, 2025","This movie has two experiences: that when watching & when remembering. For the first, I felt it's pace slow. But, like the title, it's impact grew within me and lingers still."
5.0,"Mar 4, 2025","Magnificent ! A film that does what very few modern films seem to be able to do: make a highly entertaining film where the social messaging is apparent but it doesn’t overwhelm the rest of the experience. Edgy, dark, funny and devastating."
5.0,"Mar 2, 2025",Perfect Film!!! Simply a Masterpiece!!!!
5.0,"Feb 26, 2025","Brilliant and razor-sharp social critique disguised as a thriller, balancing dark humor, tension, and drama with absolute mastery. Gripping story that exposes class struggles in a way that feels both universal and deeply unsettling. The film constantly shifts tones and keeps you on edge, making its message hit even harder. In a few words, it’s a cinematic masterpiece that sticks with you long after the credits roll."
2.5,"Feb 25, 2025",It was ok. A bit overhyped IMO. I didn't find any of the characters particularly relatable or likable. The Host was a much more entertaining film by Bong.
4.5,"Feb 25, 2025","Great acting, movie was super interesting. Thought the scheming and the characters felt realistic. Was interesting to see a different world dynamic struggle between the poor and the rich. Top 5 of my movies this year and I wish I had seen it sooner."
5.0,"Feb 20, 2025",I have seen this movie so many times and I never get bored of it. I absolutely recommend it!
5.0,"Feb 20, 2025","A wild story where you find yourself rooting for the villainous underdog. Parasite showcases the divide of classes in South Korea, which is familiar worldwide. Beautifully shot film with lots of heart, suspense, thrills and laughs."
4.5,"Feb 19, 2025",Bong Joon Ho is quite brilliant. It’s the class levels that are becoming the greatest divider of society. Wealth doesn’t insure dignity and class.
5.0,"Feb 12, 2025",This masterpiece about social classes was so intense in the IMAX theater!
4.5,"Feb 12, 2025",All time greatest! Had all the feels...literally all the feels
5.0,"Feb 11, 2025",love a film that respects its audience. There are so many details in this movie that are crucially important and yet the film trusts its audience to notice them and acknowledge them without ramming them down our throats. There are a lot of layers to this film and I suspect for this reason its rewatch-ability factor will be very high.
5.0,"Feb 10, 2025","I believe it is wonderful how the director is able to transform a seemingly normal beggining into a tenseful film that catches your attention fully. I also must applause the form the movie uses ""unharmful"" scenes to do so, in a way that, little by little, you understand the feeling of complete tiredoom from the poorer family. Absolutily unsettling and extraordinarius!"
5.0,"Feb 10, 2025","Third act was rough, just like every Osgood Perkins movie, but this one has something the others don't, which is incredibly gory deaths and impeccable comedic timing."
1.5,"Feb 10, 2025","I was advised to watch this without learning anything about it, that's what I did, no summary, no trailers. I only knew it won Best Picture so my expectations were high. Unfortunately I was let down big time. I expect to care about characters, I did not care about these. There was no one to root for, no hero, no attachment at all. It was like watching your neighbor's life that you couldn't care less about, drag on and on, until you realize in this case, that the twist and resolution was not meaningful either, as if the writer needed a conclusion and asked around for the most ridiculous ideas, then simply chose one and wrote it in. One review characterized this film as ""vapid"" and I fully agree. A good movie will at least move me emotionally in some way. This didn't do that either."
5.0,"Feb 10, 2025",Uma loucura de bom. Me surpreendeu o desfecho. Simplesmente amei.
5.0,"Feb 10, 2025",Loved it the first 4 times I originally saw it in the theater. ow eve better in IMAX. Keep re-releasing great films like this and I will show up at the theater every week!
5.0,"Feb 9, 2025",A family of con artists. Filled with twists. An all-time favorite. “Does dripping his sperm on my seat turn him on?”
5.0,"Feb 9, 2025",JUST GO SEE IT IN IMAX
5.0,"Feb 9, 2025","Parasite is the perfect entry way into foreign film. I watched it for the first time during my second year of college. Since Parasite, I have been released into a new world of artistic cinema. The captivating use of lighting, environmental framing, and metaphorical ark makes Parasite critical to the dedicated audience."
5.0,"Feb 8, 2025","Third time watching this film. Incredible. Thrilling, thoughtful, meticulous. Love it."
4.5,"Feb 8, 2025","This movie was amazing, I think you should watch it if you like thrillers that reflect on society and has something new at every turn"
5.0,"Feb 8, 2025",Bong Joon-ho knocked it out of the park with this one. Seeing it in IMAX was especially powerful. Highly recommend.
1.0,"Feb 8, 2025",Boring and stupid. Waste of time.
5.0,"Feb 8, 2025",One of the best films of the decade.
4.5,"Feb 5, 2025","A good example of fiction that inspires introspection, shows social commentary, but also doesn't skimp on dynamic entertainment. In a sea of movies that go through the social media fame and come out the other side as overrated, Parasite sustains its worth."
3.5,"Feb 2, 2025","It’s a compartmentalized concept, somehow expanded to be grander than it needs to be, but it works… and I’m not really sure why."
5.0,"Jan 31, 2025","indeed capitalism made us parasite in some way. love the plot it's actually a crazy one, cinematography and screenplay is amazing truly deserved the Oscar win for International Film Feature and Best Picture! please produce more films like this one, love it sm!"
5.0,"Jan 29, 2025","In the year 2019 it has been a very busy year for films that actually have a seal of approval of films I've watched at that year. Some of which I haven't reviewed apart from three of them such as Little Women, The Gentlemen, Joker, The Irishman, Marriage Story, Uncut Gems, Toy Story 4, Once Upon a Time... in Hollywood, John Wick: Chapter 3 - Parabellum and Avengers: Endgame, now we have a film which is a foreign film that many people including myself really, really love and we'll cherish it forever in years to come and that foreign film is got to be Parasite. Yes, Parasite, one of most anticipated films of all time and one of the memorable ones out there. Many people had difficulty watching it without knowing what they're saying but the subtitles can help them understand and since that this is another foreign film I reviewed I think I should be doing more if I had the chance. The Kim family lives in a semi-basement flat (banjiha) in Seoul, have low-income jobs, and struggle for money as they're all unemployed. Min-hyuk, a family friend, gives the family a scholar's rock meant to promise wealth. Leaving to study abroad, he suggests that the Kims' son, Ki-woo, lie about his education to take over his job as an English language tutor for Da-hye, the daughter of the rich but naïve Park family. After his sister Ki-jung helps create a false certificate for him in Photoshop, Ki-woo, posing as a Yonsei University student, is hired by the Parks. Moments later, Kim's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until something goes wrong. What makes this film so great is the its masterful blend of social commentary, suspenseful storytelling, complex characters, exceptional cinematography, and a tightly woven plot that explores the stark realities of class inequality, all delivered with a unique blend of dark humor and thrilling twists, making it a thought-provoking and engaging cinematic experience for viewers from diverse backgrounds. I'll be very honest here, it's not for me doing this review. There are millions of people who actually and giving it highest 5 star or 10/10 making it a much more worthy film even for a foreign film like there are many foreign films that really deserve more praise and never overlook them as a miss and this one is not because it's been loved by so many who love it even this film is on the list of films in Rotten Tomatoes, IMDB, Metacritic, even Letterboxd and I've been thinking: ""Is there any of me doing this review?"" and I know what's done has to be done just like I have to do a lot of movies I'll be doing next time, many which that are great and some of them are bad I have to rant to make you laugh. Like this movie here which is darkly comical unexpectedly. Even if you can understand the ending and everything about this film is immense. With many words to describe this movie, you know exactly what I mean so with that said, Parasite is one of the best films and best foreign films of 2019."
5.0,"Jan 28, 2025","There are just a few directors that have accomplished such a complex and unique combination of feelings, genres and twists, all of these in one movie. Bong Joon-ho did it, and he did it great. It's a movie about capitalism. About that intrinsic sense of belonging and owning, in societies so different, but so alike at the same time. The chemistry and behavior between the characters and their ""plans"" will keep you on the edge of your seat. You will ask yourself through the whole movie, who is the ""parasite"" of the story. A closer look at a family living in some unfortunate conditions and the contrast with the upper class, and how far will they go to have whatever (they think) they need to be happy."
3.5,"Jan 24, 2025",حلو بس مش واو 70% تقييمى
5.0,"Jan 23, 2025",A masterful movie in every way
3.5,"Jan 22, 2025","The ending is effective but I'm not sure it says much, other than that the disparities between rich and poor are senseless; that they breed mutual enmity out of resentment and indignation, or a sense of effete, supercillious perogative. It's layered, sure. It's also well executed; and in it's own way incisive. But honestly, I don't think it's ultimately saying anything a reasonably intelligent person, with enough life experience hasn't figured out for themselves already. Or maybe I've just been poor for too long? Are you stinking rich? Well, good for you! Watch Parasite. Or don't, no one will care, least of all you, either way. Are you poor? Well, you probably won't be overly impressed. Are you middle-class? Well, no one cares for your opinions of this film, excepting other middle class folk of course. So have at it!"
4.0,"Jan 18, 2025",Parasite isn't the grand treatise on class disparity that people have made it out to be. But it's a great thriller that's just ridiculous enough to keep from being too depressing.
5.0,"Jan 16, 2025","An amazing dark comedy thriller that seamlessly blends clever satire and dreadful tension about class divide and how it forces otherwise good people into a fight for survival by any means necessary. Despite the subtitles, I was so engrossed by the almost-hypnotic visual storytelling, the easily relatable identifiable performances, and the page-turner narrative that constantly keeps you on your toes with not knowing where the story's going yet continuously building upon itself with amazingly brisk pacing despite its 2+ hour runtime. I love how there's so many layers to the themes and even who's the real titular ""parasite"" given all the individual actions vs the root systematic cause of their actions. It's also just genuinely hilarious despite the dark turn it takes. But even that dark turn feels naturally woven into the narrative without feeling like cheap scares for shock value. It's an amazing cinematic experience and easily one of my favorite movies of 2019."
5.0,"Jan 12, 2025",Parasite is one of the best movies ever created. A true masterpiece!!!!
5.0,"Jan 12, 2025","An amazing movie full of twists, turns, never ending surprises, this was a movie I didn't know much about (other than the shortest of summaries and the fact it won the Oscar for best picture). It exceeded all expectations for me."
5.0,"Jan 7, 2025","Bursting with ideas and a complete hodgepodge of genres that all come together quite brilliantly, this is a rare film indeed and a thrill ride to boot."
5.0,"Jan 5, 2025","Nothing to add, a modern masterpiece."
1.0,"Jan 3, 2025",One of the worst films I've seen. Should really be renamed Parashi*e.
5.0,"Dec 28, 2024",The best movie I ever seen in my life
5.0,"Dec 28, 2024","Challenging social comentary and reflection on social pressures on individuals/families. Wonderful tension in the story and between the characters. Some big moments, with expert presentation and handling. It isn't just entertaining, it is edifying and challenging."
3.5,"Dec 25, 2024",Good and thought-provoking movie? Yes. Number 1 on endless lists and worthy of an Oscar? Not in my opinion.
4.0,"Dec 24, 2024",8.3/10 прекрасный фильм
5.0,"Dec 22, 2024","Incredible at making you uncomfortable, and plot was great"
5.0,"Dec 18, 2024",You will fall in love with Korean cinema
0.5,"Dec 15, 2024","Solo a un cinefilo puede parecerle una obra maestra, porque es el mismo tipo de personas que le fascina ver una pila de baldes con arena caerse. Para colmo un tipo escribe: ""La mejor pelicula de todos los tiempos"", seguro es la unica pelicula que vio."
5.0,"Dec 14, 2024","This film is pure genius. There is nothing imperfect about this movie. It is funny, thrilling, dramatic, and satirical all at once in the best possible way. This movie has so much to say about the way that we think about and treat others and presents these thoughts through and interesting plot, genius dialogue, and amazing acting. This movie is the perfect length and is a constant thrill ride that never really slows down. The ending is amazing and satisfies the viewer in all ways. I am thrilled to see more films by Bong Joon-Ho and am especially excited for Mickey 17 this spring."
5.0,"Dec 12, 2024",Eu fiquei pensando em um roteiro tão simples que ganhou vários prêmios.
5.0,"Dec 9, 2024",The greatest movie of all time
4.5,"Dec 2, 2024","Don't get me wrong, this was a great movie but was it the best movie I've seen in years? I wouldn't go that far. Still, the acting was amazing. The cinematography was stellar. The story was great but it wasn't necessarily mind blowing."
0.5,"Nov 29, 2024","Most overrated and overhyped film I've seen in forever. And I was SO up for this film. LITERALLY every other film that was nominated for Nest Picture at the Oscars that this was up against were better than this. It shouldn't have even been nominated! And yes, I DID 'get it' AND understand it, it was still terrible."
4.0,"Nov 22, 2024",Nice casting. Coming with a story that will depict what the society is ideed.
3.0,"Nov 20, 2024","Everyone raves about this movie. I mean YA, I GET IT, ITS GOOD. I just didn't like the way it made me feel. You know? I felt like I was anxious and like I was cringing the whole movie. Maybe it's just because I watched it by myself, but I don't know. Still giving it 3 stars, and you can kick rocks if this rating pisses you off."
3.5,"Nov 18, 2024","It's a nice and high-quality movie to watch. I really liked the course of events, but there were some boring scenes, but I think it's a quality movie with a good progression. It's worth watching."
5.0,"Nov 14, 2024",This is a once in a lifetime masterpiece. It deserves all of the oscars it’s won and so much more. This film is etched into my memory forever as a work of art.
5.0,"Nov 3, 2024",Incredible film from start to finish. Combines genres and delivers tension without sacrificing a gripping story. Deserves all the accolades and more.
5.0,"Nov 3, 2024","I just finished watching the Film. The first thing I need to say, shouldn't be about the film itself but rather about the feelings within me right after it. I am sure many of you might know the painful feeling of emptiness, one might experience if ones favorite Series, with characters and a Story, you had the chance to bond to over an extensive amount of time and many episodes and seasons, comes to an end. You just feel without a clear goal. It feels like a good friend has died (ok maybe not that bad) and you need to learn what to do with yourself again after having got used to spending all your time with him/her. This was the first movie, that made me feel this way. You might say, that feeling like this might sound like a terrible thing, and in some way it is. But if I personally deeply think about it I would object. This feeling is a wonderful testiment of how great a movie was able to touch the viewers emotion and soul. In a weird philosophical way it is proof of the true humanity of everybody that feels it. I dont think this movies brilliance can be boiled down or be dissected in individual parts like cinematography, characters or story. It is the great sum of all those parts that creates the true brilliance, being the feelings it awakens in its viewers. It perfectly mirrors an each and every humans being in a way. This is why you might feel a rush of those described negative emotions. But if you think about it and feel really deep within yourself...It also awakens the feeling of being understood and a part of a greater, loneliness-expelling community of beings that are in some or another way connected by interest or emotion and therefore possess the ability to archieve wonderful and amazing feats... ...such as creating this movie"
4.0,"Oct 27, 2024","A masterful blend of dark humor and social commentary, delivered a thrilling narrative with unexpected twists."
4.0,"Oct 21, 2024","As entertaining as it may be, the ending meets the viewer's expectations."
4.0,"Oct 17, 2024","This Movie was intense! Beautifully filmed and well-depicted lessons on greed from many perspectives. You can see the tarantinoesc way about this film, but ultimately, this film was its own thing. The framing and the simplicity of dialogue and vision were powerful. Though the violence and this type of intensity sometimes aren't my favorite still, this movie had such awe about it it made sense that it got a movie of the year! It drew you in. For me, there's no need to see it twice, but glad I saw it once."
5.0,"Oct 15, 2024",Absolute masterpiece
4.0,"Oct 15, 2024","Really good movie! Beautiful cinematography too. I did not like that much some of the events at the end, but still good."
5.0,"Oct 12, 2024","""Once you overcome the one-inch tall barrier of subtitles, you will be introduced to so many more amazing films."", Bong Joon-ho"
3.5,"Oct 8, 2024",Temas sociais que permeiam a classe média e alta da Coreia do Sul são o foco desse drama premiado pela academia com quatro Oscares.
5.0,"Oct 7, 2024",A great movie indeed!
5.0,"Oct 1, 2024","Stunning, captivating, comedic yet real, raw. Incredible piece."
5.0,"Sep 29, 2024","Bong Joon Ho is really one of the best directors right now. Parasite, even with this insane ending, it's still so human. what an amazing movie."
1.0,"Sep 16, 2024",An extraordinarily ugly film. The fact that it's done so well only adds to the disgust of it all.
5.0,"Sep 15, 2024",Really good movie.The plot might be confusing unless you look up videos online
5.0,"Sep 12, 2024",The OG eat the rich. The crown jewel of the sub-genre.
3.0,"Sep 10, 2024","I don’t get the exaggerated hype. Sure, this is one unpredictable plot with great cinematography and performances, sprinkled with an entrancing soundtrack. That makes it far from perfect nonetheless. The first part is tedious and seems elongated, while the second part is not that different, except for a slightly-rushed infamous scene. As a whole, Parasite is peculiar but also somewhat pretentious, and this has nothing to do with the portrayal of a snobbish bunch, but rather with the way through which this snobby-needy juxtaposition is dealt with. In a world of extremes where the ratings for this movie are either 5 stars or just half a star, I choose to take the rocky path, and declare the following: this isn’t a movie one would find oneself itching to watch again any time soon, but it also isn’t one short of standing beside the classics."
0.5,"Sep 10, 2024",Hated this boring movie. I should have been warned when the critics like something.
4.0,"Sep 5, 2024","Watched this without any knowledge of what it was about on an airplane. I knew it was a contender for best film a few years ago but didn't know anything more. I was pretty entertained and shocked in a good way by the film. It was pretty stressful at times, but a good movie makes you feel things! Would recommend."
5.0,"Sep 2, 2024","Parasite is a hands-down masterpiece. Cinematography, acting, atmosphere and plot are flawless; it is pure fun from beginning to end."
5.0,"Aug 31, 2024",No wonder this film won an oscar it's amazing.
5.0,"Aug 31, 2024","Best movie I've seen in 2024. By far. Checks every box for a great film - character development, plot twists, script, acting, and an incredible story arc. A must see indeed."
5.0,"Aug 30, 2024",Great movie. Very metaphorical.
5.0,"Aug 26, 2024","Its sad sometimes seeing the diferences between the people who has a lot of money an the people tha don’t. This movie explore that feeling and how that feeling of being diferent is slowly grown up and becoming angry, violence."
4.5,"Aug 24, 2024",Dark comedy. That ending. RIP.
5.0,"Aug 24, 2024","Parasite offers a disturbing analysis of current social disparities, delving deeply into the complexities of modern capitalism. The movie presents a meticulously structured narrative and uses a powerful metaphor to illustrate the tensions of a divided society. As an engaging class warfare thriller, Bong Joon-ho not only critiques the system but does so in a provocative and original way, avoiding didacticism. The result is a cinematic experience that challenges and intrigues, providing deep satisfaction and lasting reflection."
5.0,"Aug 24, 2024",One of the best foreign films you could ever watch.
5.0,"Aug 23, 2024","""Parasite"" transita por gêneros, de maneira genial e visceral. Com uma bela construção narrativa, que aos poucos vai criando suas consequências, causando o espectador ficar instigado com a trama genial composta por Bong Joon-ho."
5.0,"Aug 21, 2024","One of the best movies of all time. Absolutely S tier. If you liked this one, I urge you to watch Oldboy."
5.0,"Aug 21, 2024",This movie is art as well as entertainment
5.0,"Aug 19, 2024","parasite is definitely my favorite movie in the world. the choice of the character it’s literally perfect ! and the social criticism of the film is also very well elaborated, when you discover the meaning of the ""bad smell"" and the ""divider line"" the film gets absolutely better ! but I just can't accept the end of ki-jung …"
4.5,"Aug 5, 2024","Amazing cinematoraphy, story, and writing."
5.0,"Jul 29, 2024",Easily one of the best movies in all of the 2020s
5.0,"Jul 25, 2024","A fantastic and thrilling watch. After watching it once with my father, we sat again mere months later to rewatch, and it was 100% worth it! The movie is extremely gritty and smart, comedy is perfectly timed and I grew to fell in love with the characters. Not a moment of screentime is wasted, and it definitely deserves more recognition. A fantastic ending, a fantastic movie. Kept me hooked the whole way through!"
1.5,"Jul 20, 2024","It was like an almodovar movie, but korean. Not really the masterpiece the Oscars sold to the world"
5.0,"Jul 12, 2024",esse eh um dos maiores ne
5.0,"Jul 12, 2024",An astounding take and look at classism
5.0,"Jul 8, 2024","Bong Joon Ho creates a spectacular film with comedy, and drama appearing throughout the film."
5.0,"Jul 1, 2024","Masterful in a fashion rarely seen in many movies, 'Parasite' is the only film I know where I couldn't imagine it without the wild tonal change."
0.5,"Jul 1, 2024",Next......not a good movie
5.0,"Jun 24, 2024",Parasite is a visual masterpiece.
2.5,"Jun 20, 2024","For me this movie did not live up to the hype. How were the Parks, the rich upperclass family, responsible for any of the madness that ensues when they come into contact with despicable Kims? The critics think that this film brilliantly explores the nuances between opposite social classes. I think it was all just rather vapid and pointless."
3.0,"Jun 18, 2024","Glad to see a foreign film get nominated and win (even though they have their own category). I’m fairly familiar with Korean drama, but for the virgin Kdrama viewer this may have seemed cheesy. I enjoyed the film, aside from that slight cheesiness that is common in Korean film/television. It was darker that typical Korean fare, and the ending was bizarre. This wouldn’t have been my pick for best picture. Too many other great choices this year."
5.0,"Jun 16, 2024",9.1/10 That's it. That's my entire review.
2.0,"Jun 5, 2024","Even though I like to watch Korean movies, there's a few I like a lot, with this one I didn't clicked at all. It seemed like I've seen it all before. OK, I get the point but its nothing close to groundbreaking and certainly not worth of all the praise it got."
4.5,"Jun 4, 2024",just Awesome. The plot the characters the theme. Its uniqueness
